section,name,value,year,firm
Profit & loss account,Common and Preferred dividends declared,5015402000,2024,Blackstone
Profit & loss account,Common and Preferred dividends declared,4944821000,2023,Blackstone
Profit & loss account,Common and Preferred dividends declared,7620451000,2022,Blackstone
Profit & loss account,Common and Preferred dividends declared,5957515000,2021,Blackstone
Profit & loss account,Common and Preferred dividends declared,3129739000,2020,Blackstone
Profit & loss account,Common and Preferred dividends declared,3108978000,2019,Blackstone
Profit & loss account,Common and Preferred dividends declared,3734027000,2018,Blackstone
Profit & loss account,Common and Preferred dividends declared,3679117000,2017,Blackstone
Profit & loss account,Common and Preferred dividends declared,2549084000,2016,Blackstone
Profit & loss account,Common and Preferred dividends declared,4160882000,2015,Blackstone
Profit & loss account,Common and Preferred dividends declared,2925628000,2014,Blackstone
Profit & loss account,Common and Preferred dividends declared,1776084000,2013,Blackstone
Profit & loss account,Common and Preferred dividends declared,731202000,2012,Blackstone
Profit & loss account,Common and Preferred dividends declared,702832000,2011,Blackstone
